Property1,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Feature10,Feature11,Feature12,Feature13,Feature14,Feature15,Feature16,Feature17,Feature18,Feature19,Feature20,,,,,,
-1.354454926,72.59," 14,866 ",63.9,10.45670846,8.565357296,6.980958999,5.381196035,11,3.4,203.049176,0.9,6.2,0.2,3.8,11.4,1.4,33.8,14.4,0.812363636,0.000507195,,,,,,
-1.092834682,72.59," 14,866 ",63.9,10.45670846,8.565357296,6.980958999,5.381196035,11,3.4,203.049176,0.9,6.2,0.2,3.8,11.4,1.4,33.8,14.4,0.812363636,0.000507195,,,,,,
-1.056256939,20.17," 7,086 ",36.5,17.75361747,14.05781864,12.41034669,8.474222653,20,5.38,346.455572,0,12.14,0.38,3.62,13.38,3.38,47.66,25.38,0.743095652,3.88979E-05,,,,,,
-0.843282642,81.39," 17,954 ",60.2,11.35090029,9.26644871,7.652203888,5.810485385,12.3,3.46,220.1475688,0.77,6.38,0,4,11.46,1.46,34.22,15.76,0.8,0.000440778,,,,,,
-1.080037103,72.59," 14,866 ",63.9,10.45670846,8.565357296,6.980958999,5.381196035,11,3.4,203.049176,0.9,6.2,0.2,3.8,11.4,1.4,33.8,14.4,0.812363636,0.000507195,,,,,,
0.043573166,72.59," 14,866 ",63.9,10.45670846,8.565357296,6.980958999,5.381196035,11,3.4,203.049176,0.9,6.2,0.2,3.8,11.4,1.4,33.8,14.4,0.812363636,0.000507195,,,,,,
0.665457237,31.40," 10,951 ",43.4,17.7253332,14.04148871,12.39034669,8.471128642,20,5.34,345.815596,0,12.02,0.34,3.66,13.34,3.34,47.38,25.34,0.742678261,3.9115E-05,,,,,,
0.327443483,31.40," 10,951 ",43.4,17.7253332,14.04148871,12.39034669,8.471128642,20,5.34,345.815596,0,12.02,0.34,3.66,13.34,3.34,47.38,25.34,0.742678261,3.9115E-05,,,,,,
0.51493391,31.40," 10,951 ",43.4,17.7253332,14.04148871,12.39034669,8.471128642,20,5.34,345.815596,0,12.02,0.34,3.66,13.34,3.34,47.38,25.34,0.742678261,3.9115E-05,,,,,,
0.672191442,31.40," 10,951 ",43.4,17.7253332,14.04148871,12.39034669,8.471128642,20,5.34,345.815596,0,12.02,0.34,3.66,13.34,3.34,47.38,25.34,0.742678261,3.9115E-05,,,,,,
0.269722218,91.93," 20,204 ",59.8,11.27123774,9.206237859,7.592877358,5.776273124,12.2,3.44,218.5861632,0.78,6.32,0,4,11.44,1.44,34.08,15.64,0.800790514,0.000445971,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
